seal_id,location,date_tagged,DOY,year,mass_kg,fatness,age_mum,age_pup,prev_pups,str_length,TDR_length_hrs,TDR_length_sec,all_dives,shallow_dives,deep_dives,max_dep,mean_dep,dep_sd,max_dur,mean_dur,dur_sd,hours_active,all_dives_active,shallow_dives_active,deep_dives_active,foraging_bouts,dives_perfb,alldives_TDRhrs,shall_TDRhrs,deep_TDRhrs,forager_class,forager_01,lactation_stage,lactation_01
 WS18-01,Tent Island,12/11/2018,316,2018,272,0.67,7,16,NA,233,97.41472222,350693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,non-forager,0,early,0
WS18-02,Tent Island,12/11/2018,316,2018,432,0.72,9,16,2,269,99.96472222,359873,30,6,24,233.7,113.9,71.79,21.5,14.2,7.06,18.2,1.65,0.33,1.32,8,3,0.300105871,0.060021174,0.240084697,forager,1,early,0
 WS18-03,Tent Island,12/11/2018,316,2018,373,0.72,8,18,1,226,46.06472222,165833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,non-forager,0,early,0
 WS18-04,Big Razorback,13/11/2018,317,2018,304,0.73,11,19,4,237,93.28138889,335813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,non-forager,0,early,0
 WS18-05,Big Razorback,13/11/2018,317,2018,379,0.73,14,19,7,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-forager,0,early,0
 WS18-06,Big Razorback,14/11/2018,318,2018,367,0.78,11,16,3,236,64.86666667,233520,13,8,5,343.2,97,136.51,24.4,6.3,9.7,5.4,2.41,1.49,0.93,1,5,0.2004111,0.123329907,0.077081192,forager,1,early,0
WS18-08,Tent Island,15/11/2018,319,2018,270,0.82,7,17,NA,199,99.96472222,359873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,non-forager,0,early,0
WS18-09,Hutton Cliffs,16/11/2018,320,2018,450,0.75,9,19,2,266,99.96472222,359873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,non-forager,0,early,0
WS18-10,Hutton Cliffs,18/11/2018,322,2018,329,0.78,15,21,8,232,71.88138889,258773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,non-forager,0,mid,1
WS18-11,Hutton Cliffs,18/11/2018,322,2018,299,0.73,8,21,NA,233,66.83138889,240593,6,6,0,15.7,11.9,2.07,0.5,0.2,0.17,4.3,1.38,1.38,0,0,0,0.089778173,0.089778173,0,non-forager,0,mid,1
WS18-13,Big Razorback,20/11/2018,324,2018,305,0.73,16,24,9,235,99.96472222,359873,60,39,21,374.9,91,126.94,29.4,5.9,9.06,9.8,6.15,4,2.15,8,2.6,0.600211741,0.390137632,0.210074109,forager,1,mid,1
WS18-14,Tent Island,25/11/2018,329,2018,258,0.68,11,31,4,234,99.96472222,359873,1,1,0,18.5,18.5,NA,0.5,0.5,NA,13.9,0.07,0.07,0,0,0,0.010003529,0.010003529,0,non-forager,0,mid,1
WS18-15,Tent Island,25/11/2018,329,2018,294,0.83,10,33,3,217,150.78,542808,22,8,14,343,200,142.54,25.1,13.1,9.38,56.4,0.39,0.14,0.25,6,2.3,0.145907945,0.053057435,0.092850511,forager,1,mid,1
WS18-16,Big Razorback,27/11/2018,331,2018,263,0.69,9,29,2,225,102.0133333,367248,169,100,69,428.8,114.5,144.25,26.1,6.6,7.71,30.3,5.57,3.3,2.27,11,6.3,1.656646191,0.980264018,0.676382172,forager,1,mid,1
WS18-17,North Base,28/11/2018,332,2018,287,0.71,16,26,9,225,98.61472222,355013,32,19,13,241.4,76.3,85.41,19.6,4.7,6.97,7,4.59,2.72,1.86,2,6.5,0.324495159,0.192669001,0.131826158,forager,1,mid,1
WS18-19,North Base,28/11/2018,332,2018,282,0.75,9,30,2,231,108.22,389592,213,89,124,229,97,74.24,22.6,6.8,6.46,36.3,5.86,2.45,3.41,11,11.3,1.9682129,0.822398817,1.145814082,forager,1,mid,1
WS18-20,North Base,28/11/2018,332,2018,263,0.87,8,30,1,217,95.13138889,342473,159,55,104,337.7,128.7,102.34,18.8,8.4,6.43,30.3,5.25,1.82,3.44,6,17.3,1.671372634,0.578147766,1.093224867,forager,1,mid,1
WS18-21,North Base,29/11/2018,333,2018,307,0.64,7,31,NA,256,105.3266667,379176,169,142,27,209.5,40,54.43,18.1,2.6,5.12,44.8,3.77,3.17,0.6,3,9,1.604531932,1.348186594,0.256345338,forager,1,mid,1
WS19-27,Hutton Cliffs,19/11/2019,321,2019,365,0.84,9,26,2,221,22.58666667,81312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,non-forager,0,mid,1
WS19-30,Big Razorback,20/11/2019,324,2019,318,0.71,12,28,5,241,12,43200,38,24,14,449.3,151.5,183.14,19.3,6.5,6.77,7.1,5.37,3.39,1.98,4,3.5,3.166666667,2,1.166666667,forager,1,mid,1
WS19-36,Big Razorback,28/11/2019,332,2019,242,0.75,10,32,3,216,132.8430556,478235,25,9,16,296.2,107,107.72,19.9,5.7,6.54,34.3,0.73,0.26,0.47,6,2.7,0.188191998,0.067749119,0.120442878,forager,1,mid,1
WS19-39,Pram Point,2/12/2019,336,2019,290,0.76,9,29,2,221,64.85027778,233461,163,142,21,342.5,39.2,73.72,31.1,3.7,7.07,10.5,15.58,13.57,2.01,9,2.3,2.513481909,2.189659086,0.323822823,forager,1,mid,1
WS19-40,Turks Head,3/12/2019,337,2019,311,0.73,8,33,0,244,144.9830556,521939,318,246,72,328,44.9,66.81,13.9,1.6,2.78,19.8,16.04,12.41,3.63,13,5.5,2.19335976,1.696750003,0.496609757,forager,1,mid,1
WS19-41,Pram Point,4/12/2019,338,2019,288,0.68,10,37,1,234,121.0397222,435743,680,564,116,325.3,32,47.73,26.9,2.9,5.68,39.4,17.28,14.33,2.95,14,8.3,5.617990422,4.65962735,0.958363072,forager,1,mid,1
WS19-42,Turks Head,5/12/2019,339,2019,314,0.71,9,32,2,249,104.4540278,376034.5,379,314,65,343.4,38.3,55.37,17.8,1.9,2.95,31.3,12.11,10.03,2.08,15,4.3,3.628390479,3.006107152,0.622283328,forager,1,mid,1
WS19-43,Turks Head,7/12/2019,341,2019,252,0.74,8,29,1,221,127.5573611,459206.5,305,107,198,367.2,89.5,69.95,24.8,6.6,5.63,46.9,6.51,2.28,4.22,10,19.8,2.391081137,0.8388383,1.552242836,forager,1,mid,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
